Date,Goldpreis,Gold_ETF,Dollar_Index,SP500,Oil_Price,Wochentag
2022-11-25,1754.79,163.22000122070312,105.95999908447266,4026.1201171875,76.27999877929688,Friday
2022-11-23,1752.345,163.0800018310547,106.08000183105467,4027.260009765625,77.94000244140625,Wednesday
2022-11-22,1741.22,162.07000732421875,107.22000122070312,4003.580078125,80.94999694824219,Tuesday
2022-11-21,1738.635,161.8800048828125,107.83999633789062,3949.93994140625,79.7300033569336,Monday
2022-11-18,1751.17,162.7899932861328,106.93000030517578,3965.340087890625,80.08000183105469,Friday
2022-11-17,1760.19,163.9199981689453,106.69000244140624,3946.56005859375,81.63999938964844,Thursday
2022-11-16,1773.945,165.1199951171875,106.27999877929688,3958.7900390625,85.58999633789062,Wednesday
2022-11-15,1780.82,165.5,106.4000015258789,3991.72998046875,86.91999816894531,Tuesday
2022-11-14,1769.59,164.9199981689453,106.66000366210938,3957.25,85.87000274658203,Monday
2022-11-11,1771.205,164.55999755859375,106.29000091552734,3992.929931640625,88.95999908447266,Friday
2022-11-10,1752.3,163.47999572753906,108.20999908447266,3956.3701171875,86.47000122070312,Thursday
2022-11-09,1706.53,158.64999389648438,110.5500030517578,3748.570068359375,85.83000183105469,Wednesday
2022-11-08,1711.68,159.4499969482422,109.62000274658205,3828.110107421875,88.91000366210938,Tuesday
2022-11-07,1674.175,155.85000610351562,110.12000274658205,3806.800048828125,91.79000091552734,Monday
2022-11-04,1680.935,156.47000122070312,110.87999725341795,3770.550048828125,92.61000061035156,Friday
2022-11-03,1629.845,151.80999755859375,112.93000030517578,3719.889892578125,88.16999816894531,Thursday
2022-11-02,1633.77,152.38999938964844,111.3499984741211,3759.68994140625,90.0,Wednesday
2022-11-01,1646.885,153.4600067138672,111.4800033569336,3856.10009765625,88.37000274658203,Tuesday
2022-10-31,1632.575,151.91000366210938,111.52999877929688,3871.97998046875,86.52999877929688,Monday
2022-10-28,1644.695,153.16000366210938,110.66999816894533,3901.06005859375,87.9000015258789,Friday
2022-10-27,1661.99,154.74000549316406,110.58999633789062,3807.300048828125,89.08000183105469,Thursday
2022-10-26,1667.605,154.97999572753906,109.6999969482422,3830.60009765625,87.91000366210938,Wednesday
2022-10-25,1652.855,154.0,110.9499969482422,3859.110107421875,85.31999969482422,Tuesday
2022-10-24,1651.86,153.64999389648438,111.98999786376952,3797.340087890625,84.58000183105469,Monday
2022-10-21,1658.04,154.14999389648438,112.01000213623048,3752.75,85.05000305175781,Friday
2022-10-19,1628.99,151.69000244140625,112.9800033569336,3695.159912109375,85.55000305175781,Wednesday
2022-10-18,1652.42,153.75,112.12999725341795,3719.97998046875,82.81999969482422,Tuesday
2022-10-17,1650.77,153.4199981689453,112.04000091552734,3677.949951171875,85.45999908447266,Monday
2022-10-14,1644.385,152.97999572753906,113.30999755859376,3583.070068359375,85.61000061035156,Friday
2022-10-13,1663.49,154.91000366210938,112.36000061035156,3669.909912109375,89.11000061035156,Thursday
2022-10-12,1674.545,155.99000549316406,113.31999969482422,3577.030029296875,87.2699966430664,Wednesday
2022-10-11,1664.18,155.16000366210938,113.22000122070312,3588.840087890625,89.3499984741211,Tuesday
2022-10-10,1670.2,155.47999572753906,113.13999938964844,3612.389892578125,91.12999725341795,Monday
2022-10-07,1695.42,157.8800048828125,112.8000030517578,3639.659912109375,92.63999938964844,Friday
2022-10-06,1711.94,159.6300048828125,112.26000213623048,3744.52001953125,88.44999694824219,Thursday
2022-10-05,1718.47,159.80999755859375,111.06999969482422,3783.280029296875,87.76000213623047,Wednesday
2022-10-04,1725.64,160.6999969482422,110.06999969482422,3790.929931640625,86.5199966430664,Tuesday
2022-10-03,1701.11,158.42999267578125,111.75,3678.429931640625,83.62999725341797,Monday
2022-09-30,1661.36,154.6699981689453,112.12000274658205,3585.6201171875,79.48999786376953,Friday
2022-09-29,1664.685,154.66000366210938,112.25,3640.469970703125,81.2300033569336,Thursday
2022-09-28,1656.16,154.69000244140625,112.5999984741211,3719.0400390625,82.1500015258789,Wednesday
2022-09-27,1628.945,151.5399932861328,114.11000061035156,3647.2900390625,78.5,Tuesday
2022-09-26,1627.73,151.22999572753906,114.0999984741211,3655.0400390625,76.70999908447266,Monday
2022-09-23,1644.05,153.00999450683594,113.19000244140624,3693.22998046875,78.73999786376953,Friday
2022-09-22,1672.82,155.6999969482422,111.3499984741211,3757.989990234375,83.48999786376953,Thursday
2022-09-21,1667.14,155.7899932861328,110.63999938964844,3789.929931640625,82.94000244140625,Wednesday
2022-09-20,1666.485,155.07000732421875,110.22000122070312,3855.929931640625,84.44999694824219,Tuesday
2022-09-19,1675.86,155.9600067138672,109.73999786376952,3899.889892578125,85.7300033569336,Monday
2022-09-16,1675.345,155.83999633789062,109.76000213623048,3873.330078125,85.11000061035156,Friday
2022-09-15,1662.375,154.97999572753906,109.73999786376952,3901.35009765625,85.0999984741211,Thursday
2022-09-14,1697.575,157.92999267578125,109.66000366210938,3946.010009765625,88.4800033569336,Wednesday
2022-09-13,1702.23,158.5399932861328,109.81999969482422,3932.68994140625,87.30999755859375,Tuesday
2022-09-12,1725.35,160.6300048828125,108.33000183105467,4110.41015625,87.77999877929688,Monday
2022-09-09,1717.305,159.82000732421875,109.0,4067.360107421875,86.79000091552734,Friday
