Date,Goldpreis_am_Tag,Gold_ETF,Dollar_Index,SP500,Oil_Price
2024-05-24,2333.83,215.9199981689453,104.72000122070312,5304.72021484375,77.72000122070312
2024-05-23,2332.08,215.72000122070312,105.11000061035156,5267.83984375,76.87000274658203
2024-05-22,2382.25,220.11000061035156,104.94000244140625,5307.009765625,77.56999969482422
2024-05-21,2421.82,224.22999572753906,104.66000366210938,5321.41015625,79.26000213623047
2024-05-20,2426.27,224.55999755859375,104.56999969482422,5308.1298828125,79.80000305175781
2024-05-17,2413.96,223.66000366210938,104.44999694824219,5303.27001953125,80.05999755859375
2024-05-16,2377.9,220.02999877929688,104.45999908447266,5297.10009765625,79.2300033569336
2024-05-15,2391.89,220.88999938964844,104.3499984741211,5308.14990234375,78.62999725341797
2024-05-14,2355.87,218.08999633789062,105.01000213623047,5246.68017578125,78.0199966430664
2024-05-13,2338.43,216.25999450683594,105.22000122070312,5221.419921875,79.12000274658203
2024-05-10,2360.42,218.7100067138672,105.30999755859375,5222.68017578125,78.26000213623047
2024-05-09,2346.66,216.9499969482422,105.2300033569336,5214.080078125,79.26000213623047
2024-05-08,2308.86,213.5800018310547,105.55000305175781,5187.669921875,78.98999786376953
2024-05-07,2315.22,214.2100067138672,105.41000366210938,5187.7001953125,78.37999725341797
2024-05-06,2326.06,215.1999969482422,105.05000305175781,5180.740234375,78.4800033569336
2024-05-03,2301.8,212.9600067138672,105.02999877929688,5127.7900390625,78.11000061035156
2024-05-02,2304.29,213.1300048828125,105.30000305175781,5064.2001953125,78.94999694824219
2024-05-01,2323.94,213.7899932861328,105.76000213623047,5018.39013671875,79.0
2024-04-30,2291.39,211.8699951171875,106.22000122070312,5035.68994140625,81.93000030517578
2024-04-29,2333.26,216.17999267578125,105.58000183105469,5116.169921875,82.62999725341797
2024-04-26,2337.81,216.6199951171875,105.94000244140625,5099.9599609375,83.8499984741211
2024-04-25,2330.71,215.9199981689453,105.5999984741211,5048.419921875,83.56999969482422
2024-04-24,2316.3,214.63999938964844,105.86000061035156,5071.6298828125,82.80999755859375
2024-04-23,2323.38,215.0399932861328,105.69000244140625,5070.5498046875,83.36000061035156
2024-04-22,2333.87,215.57000732421875,106.08000183105469,5010.60009765625,82.8499984741211
2024-04-19,2391.36,221.02999877929688,106.1500015258789,4967.22998046875,83.13999938964844
2024-04-18,2379.94,220.33999633789062,106.1500015258789,5011.1201171875,82.7300033569336
2024-04-17,2367.9,219.58999633789062,105.94999694824219,5022.2099609375,82.69000244140625
2024-04-16,2382.74,221.22000122070312,106.26000213623047,5051.41015625,85.36000061035156
2024-04-15,2382.06,220.9499969482422,106.20999908447266,5061.81982421875,85.41000366210938
2024-04-12,2344.31,216.88999938964844,106.04000091552734,5123.41015625,85.66000366210938
2024-04-11,2376.95,219.8000030517578,105.27999877929688,5199.06005859375,85.0199966430664
2024-04-10,2335.62,215.61000061035156,105.25,5160.64013671875,86.20999908447266
2024-04-09,2355.03,217.6699981689453,104.1500015258789,5209.91015625,85.2300033569336
2024-04-08,2338.86,216.47999572753906,104.13999938964844,5202.39013671875,86.43000030517578
2024-04-05,2329.59,215.13999938964844,104.30000305175781,5204.33984375,86.91000366210938
2024-04-04,2288.82,211.52000427246094,104.12000274658203,5147.2099609375,86.58999633789062
2024-04-03,2297.57,212.74000549316406,104.25,5211.490234375,85.43000030517578
2024-04-02,2280.01,210.88999938964844,104.81999969482422,5205.81005859375,85.1500015258789
2024-04-01,2249.11,207.82000732421875,105.0199966430664,5243.77001953125,83.70999908447266
2024-03-28,2233.04,205.72000122070312,104.55000305175781,5254.35009765625,83.16999816894531
2024-03-27,2190.79,203.10000610351562,104.3499984741211,5248.490234375,81.3499984741211
