,1. open,2. high,3. low,4. close,5. volume
2025-01-31,2796.35,2817.2,2791.11,2799.37,0.0
2025-01-30,2760.39,2798.5,2758.9,2796.28,0.0
2025-01-29,2762.85,2766.28,2744.8,2760.37,0.0
2025-01-28,2741.84,2765.13,2734.87,2762.84,0.0
2025-01-27,2767.73,2772.72,2730.54,2741.86,0.0
2025-01-26,2768.4,2769.6,2764.93,2767.67,0.0
2025-01-24,2754.59,2786.06,2754.38,2771.33,0.0
2025-01-23,2755.51,2758.99,2736.01,2754.6,0.0
2025-01-22,2744.37,2763.45,2742.68,2755.59,0.0
2025-01-21,2710.48,2746.04,2702.93,2744.39,0.0
2025-01-20,2696.54,2713.8,2689.36,2710.47,0.0
2025-01-19,2703.61,2703.66,2691.47,2696.56,0.0
2025-01-17,2714.62,2717.45,2699.31,2702.8,0.0
2025-01-16,2695.03,2724.8,2690.03,2714.63,0.0
2025-01-15,2675.64,2697.96,2669.41,2694.99,0.0
2025-01-14,2668.13,2679.1,2660.0,2675.63,0.0
2025-01-13,2691.17,2693.49,2656.85,2668.06,0.0
2025-01-12,2689.88,2691.23,2687.02,2691.17,0.0
2025-01-10,2670.08,2698.0,2663.91,2689.71,0.0
2025-01-09,2662.71,2678.41,2655.63,2670.05,0.0
2025-01-08,2649.85,2670.11,2645.36,2662.7,0.0
2025-01-07,2634.77,2664.35,2633.04,2649.89,0.0
2025-01-06,2641.08,2649.51,2614.84,2634.69,0.0
2025-01-05,2641.05,2642.49,2639.04,2641.1,0.0
2025-01-03,2658.48,2665.38,2636.77,2640.51,0.0
2025-01-02,2623.87,2660.56,2622.84,2658.48,0.0
2025-01-01,2625.45,2625.75,2621.77,2623.86,0.0
2024-12-31,2606.74,2627.64,2602.73,2624.33,0.0
2024-12-30,2624.18,2628.14,2596.15,2606.76,0.0
2024-12-29,2619.93,2626.33,2619.82,2624.17,0.0
2024-12-27,2632.66,2638.33,2611.71,2621.74,0.0
2024-12-26,2618.6,2639.18,2618.6,2632.68,0.0
2024-12-25,2617.44,2620.06,2615.03,2618.6,0.0
2024-12-24,2615.65,2621.5,2610.14,2616.86,0.0
2024-12-23,2624.48,2633.33,2608.26,2615.65,0.0
2024-12-22,2623.95,2624.97,2621.69,2624.38,0.0
2024-12-21,2623.44,2623.44,2623.44,2623.44,0.0
2024-12-20,2593.65,2631.91,2589.74,2622.82,0.0
2024-12-19,2588.25,2626.47,2587.03,2593.63,0.0
2024-12-18,2647.57,2651.78,2583.45,2588.17,0.0
2024-12-17,2651.83,2658.72,2633.13,2647.54,0.0
2024-12-16,2651.53,2664.44,2643.62,2651.82,0.0
2024-12-15,2649.99,2653.16,2648.85,2651.52,0.0
2024-12-14,2648.5,2648.5,2648.5,2648.5,0.0
2024-12-13,2680.81,2692.9,2646.18,2648.44,0.0
2024-12-12,2720.09,2726.23,2675.19,2680.8,0.0
2024-12-11,2696.06,2721.27,2675.89,2720.09,0.0
2024-12-10,2660.64,2698.39,2658.02,2696.11,0.0
