,0
1015,3115.3
1016,3162.74
1017,3112.97
1018,3038.86
1019,2981.35
1020,2978.37
1021,3086.91
1022,3189.06
1023,3237.71
1024,3212.68
1025,3251.87
1026,3350.21
1027,3327.62
1028,3434.67
1029,3336.68
1030,3316.4
1031,3349.03
1032,3319.26
1033,3337.74
1034,3317.09
1035,3272.92
1036,3237.4
1037,3241.06
1038,3334.17
1039,3400.86
1040,3376.52
1041,3316.47
1042,3326.97
1043,3236.87
1044,3254.46
1045,3186.08
1046,3237.25
1047,3202.31
1048,3222.64
1049,3290.75
1050,3320.12
1051,3300.12
1052,3356.44
1053,3309.5
1054,3259.96
1055,3315.6
1056,3289.67
1057,3387.48
1058,3360.03
1059,3378.21
