,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
18,1700.57,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965
19,1684.655,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515
20,1715.925,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34
21,1726.885,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905
22,1722.875,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25
23,1726.825,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375
24,1730.74,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05
25,1731.76,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705
26,1748.475,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715
27,1733.24,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96
28,1744.995,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065
29,1739.45,1727.11,1734.66,1727.395,1733.81,1712.05,1685.6,1707.59,1727.965,1729.515,1743.34,1736.905,1754.25,1744.375,1732.05,1746.705,1736.715,1763.96,1776.065,1772.255
